,name,disc,college
1258,Money & Banking,Humanities and Social Sciences,IIT Kanpur
1259,History of English Language and Literature,Humanities and Social Sciences,IIT Madras
1260,Health Psychology,Humanities and Social Sciences,IIT Bombay
1261,Patent Drafting for Beginners,Humanities and Social Sciences,IIT Madras
1262,Human Adjustment Processes,Humanities and Social Sciences,IIT Kanpur
1263,Business English Communication,Humanities and Social Sciences,IIT Madras
1264,Selected Topics in Psychology,Humanities and Social Sciences,IIT Kanpur
1265,Postmodernism in Literature,Humanities and Social Sciences,IIT Madras
1266,Body language: Key to professional Success,Humanities and Social Sciences,IIT Roorkee
1267,Interpersonal Skills,Humanities and Social Sciences,IIT Roorkee
1268,Soft Skill Development,Humanities and Social Sciences,IIT Kharagpur
1269,Social Cognition,Humanities and Social Sciences,IIT Bombay
1270,Symbolic Logic,Humanities and Social Sciences,IIT Kharagpur
1271,Indian Fiction in English,Humanities and Social Sciences,IIT Madras
1272,Elements of Visual Representation,Humanities and Social Sciences,IIT Kanpur
1273,Introduction on Intellectual Property to Engineers and Technologists,Humanities and Social Sciences,IIT Kharagpur
1274,Introduction to cultural studies,Humanities and Social Sciences,IIT Madras
1275,Understanding Creativity and Creative Writing,Humanities and Social Sciences,IIT Bombay
1276,Globalization and Culture,Humanities and Social Sciences,IIT Kharagpur
1277,Intellectual Property,Humanities and Social Sciences,IIT Madras
1278,Practical English: Learning and Teaching(Course sponsored by Aricent),Humanities and Social Sciences,IIT Kanpur
1279,Short Fiction in Indian Literature,Humanities and Social Sciences,IIT Madras
1280,Emotional Intelligence,Humanities and Social Sciences,IIT Kharagpur
1281,Brief introduction to Psychology,Humanities and Social Sciences,IIT Kanpur
1282,Speaking Effectively,Humanities and Social Sciences,IIT Kharagpur
1283,Great Experiments in Psychology,Humanities and Social Sciences,IIT Kharagpur
1284,Psychiatry:An overview,Humanities and Social Sciences,IIT Kanpur
1285,Human resource development,Humanities and Social Sciences,IIT Kharagpur
1286,The Nineteenth-Century English Novel,Humanities and Social Sciences,IIT Madras
1287,Educational leadership,Humanities and Social Sciences,IIT Kharagpur
1288,Feminist Writings,Humanities and Social Sciences,IIT Madras
1289,Introduction to World Literature,Humanities and Social Sciences,IIT Madras
1290,Introduction to Environmental Economics,Humanities and Social Sciences,IIT Roorkee
1291,Managing Intellectual Property in Universities,Humanities and Social Sciences,IIT Madras
1292,Effective Writing,Humanities and Social Sciences,IIT Roorkee
1293,"English Literature of the Romantic Period, 1798-1832",Humanities and Social Sciences,IIT Madras
1294,International Trade - Theory and Empirics,Humanities and Social Sciences,IIT Roorkee
1295,Introduction to Indian Art - An appreciation,Humanities and Social Sciences,IIT Kanpur
1296,Basic Concepts of Modal Logic,Humanities and Social Sciences,IIT Kanpur
1297,Strategic Performance Management,Humanities and Social Sciences,IIT Kharagpur
1298,Probability and Stochastic for Finance II,Humanities and Social Sciences,IIT Kanpur
1299,Introduction to Psychology,Humanities and Social Sciences,IIT Kanpur
1300,Folk and Minor Art in India,Humanities and Social Sciences,IIT Kanpur
1301,Developing Soft Skills and Personality,Humanities and Social Sciences,IIT Kanpur
1302,How the Brain Creates Mind,Humanities and Social Sciences,IIT Kanpur
1303,Understanding Design Thinking & People Centred Design,Humanities and Social Sciences,IIT Kanpur
1304,Handling Large_Scale Unit Level Data Using STATA,Humanities and Social Sciences,IIT Roorkee
1305,Introduction to Basic Spoken Sanskrit,Humanities and Social Sciences,IIT Kharagpur
1306,Appreciating Linguistics: A typological approach,Humanities and Social Sciences,IIT Madras
1307,"Water, Society and Sustainability",Humanities and Social Sciences,IIT Kharagpur
1308,Inclusion and Technology Design,Humanities and Social Sciences,IIT Madras
1309,Energy Economics And Policy,Humanities and Social Sciences,IIT Madras
1310,Enhancing Soft Skills and Personality,Humanities and Social Sciences,IIT Kanpur
1311,The Victorian Gothic Short Story,Humanities and Social Sciences,IIT Madras
1312,Postcolonial Literature,Humanities and Social Sciences,IIT Kanpur
1313,Introducing Modern Western Art: Movements and Artists,Humanities and Social Sciences,IIT Kanpur
1314,German-II,Humanities and Social Sciences,IIT Madras
1315,Indian Poetry in English,Humanities and Social Sciences,IIT Roorkee
1316,German-I,Humanities and Social Sciences,IIT Madras
1317,Exploring Survey Data on Health Care,Humanities and Social Sciences,IIT Roorkee
1318,Contextualizing Gender,Humanities and Social Sciences,IIT Roorkee
1319,Employment Communication A Lab based course,Humanities and Social Sciences,IIT Kharagpur
1320,Disability Studies: An introduction,Humanities and Social Sciences,IIT Madras
1321,"Cognition, Transformation and Lives",Humanities and Social Sciences,IIT Kanpur
1322,Visual Perception and Art: A Survey Across the Cultures,Humanities and Social Sciences,IIT Kanpur
1323,Introduction to Film Studies,Humanities and Social Sciences,IIT Madras
1324,Introduction to Basic Cognitive Processes,Humanities and Social Sciences,IIT Kanpur
1325,Literary Criticism (From Plato to Leavis),Humanities and Social Sciences,IIT Madras
1326,Public Speaking,Humanities and Social Sciences,IIT Roorkee
1327,Calculus of One Real Variable,Humanities and Social Sciences,IIT Kanpur
1328,Twentieth Century Fiction,Humanities and Social Sciences,IIT Madras
1329,Partition of India in Print Media and Cinema,Humanities and Social Sciences,IIT Roorkee
1330,Digital Human Modeling and Simulation for Virtual Ergonomics Evaluation,Humanities and Social Sciences,IIT Guwahati
1331,An Introduction to Microeconomics,Humanities and Social Sciences,IIT Kanpur
1332,Modern Indian Writing in Translation,Humanities and Social Sciences,IIT Madras
1333,Introduction to Advanced Cognitive Processes,Humanities and Social Sciences,IIT Kanpur
1334,"Introduction to Political Ideologies : Contexts, Ideas, and Practices",Humanities and Social Sciences,IIT Madras
1335,Feminism : Concepts and Theories,Humanities and Social Sciences,IIT Madras
1336,Organisation Management,Management,IIT Delhi
1337,Quality Design and Control,Management,IIT Kharagpur
1338,Managing Services(Course sponsored by Aricent),Management,IIT Kanpur
1339,Business Analytics For Management Decision,Management,IIT Kharagpur
1340,Strategic Management - The Competitive Edge,Management,IISc Bangalore
1341,Quantitative Finance,Management,IIT Kanpur
1342,Soft Skills For Business Negotiations And Marketing Strategies,Management,IIT Kharagpur
1343,Research Writing,Management,IIT Kharagpur
1344,Marketing Management-I,Management,IIT Kanpur
1345,Engineering Econometrics,Management,IIT Kharagpur
1346,Production and Operation Management,Management,IIT Roorkee
1347,Marketing Management - II,Management,IIT Kanpur
1348,Industrial Safety Engineering,Management,IIT Kharagpur
1349,"Services Marketing : Integrating People, Technology, Strategy",Management,IIT Roorkee
1350,Management of Inventory Systems,Management,IIT Kharagpur
1351,"Managerial Skills for Interpersonal Dynamics	",Management,IIT Roorkee
1352,Selected Topics in Decision Modeling,Management,IIT Kharagpur
1353,Financial Management For Managers,Management,IIT Roorkee
1354,Project Management,Management,IIT Kanpur
1355,Ethics in Engineering Practice,Management,IIT Kharagpur
1356,International Business,Management,IIT Roorkee
1357,Systems Engineering: Theory & Practice,Management,IIT Kanpur
1358,Path Integral Methods in Physics & Finance,Management,IIT Roorkee
1359,Managerial Accounting,Management,IIT Bombay
1360,Introduction to Marketing Essentials,Management,IIT Roorkee
1361,Managerial Accounting,Management,IIT Bombay
1362,Design Thinking - A Primer,Management,IIT Madras
1363,Managerial Economics,Management,IIT Bombay
1364,Principles of Management,Management,IIT Roorkee
1365,Organization Theory/Structure and Design,Management,IIT Roorkee
1366,Total Quality Management - I,Management,IIT Kanpur
1367,Talent Acquisition and Management,Management,IIT Roorkee
1368,Econometric Modelling,Management,IIT Roorkee
1369,Quality Management,Management,IIT Bombay
1370,Security Analysis & Portfolio Management,Management,IIT Roorkee
1371,Management of New Products and Services,Management,IIT Kanpur
1372,Total Quality Management - II,Management,IIT Kanpur
1373,Decision making with spreadsheet,Management,IIT Roorkee
1374,"Practitioners Course In Descriptive, Predictive And Prescriptive Analytics",Management,IIT Kanpur
1375,Decision-Making Under Uncertainty,Management,IIT Madras
1376,Integrated Marketing Communication,Management,IIT Roorkee
1377,Decision making using financial accounting,Management,IIT Madras
1378,Leadership and Team Effectiveness,Management,IIT Roorkee
1379,Product and Brand Management,Management,IIT Roorkee
1380,Quantitative Investment Management,Management,IIT Roorkee
1381,Strategic Sales Management,Management,IIT Roorkee
1382,Microeconomics: Theory & Applications,Management,IIT Kanpur
1383,Entrepreneurship,Management,IIT Madras
1384,Data Analysis and Decision Making - I,Management,IIT Kanpur
1385,Economics of Health and Health Care,Management,IIT Kanpur
1386,Simulation of Business Systems: An Applied Approach,Management,IIT Kanpur
1387,Managing change in organizations,Management,IIT Kharagpur
1388,Financial Institutions and Markets,Management,IIT Kharagpur
1389,Organizational Behaviour,Management,IIT Madras
1390,Sales and Distribution Management,Management,IIT Kharagpur
1391,The Future of Manufacturing Business: Role of Digital Technologies,Management,IIT Madras
1392,Six Sigma,Management,IIT Kharagpur
1393,Financial accounting - IITMandi,Management,IIT Madras
1394,Technology Forecasting for strategic decision making _ An Introduction,Management,EM Strasbourg Business School
1395,Leadership for India Inc: Practical concepts and Constructs,Management,IIT Madras
1396,Organisation of Engineering Systems and Human Resources Management,Management,IIT Delhi
1397,Strategy and Technology: A Practical Primer,Management,IIT Madras
1398,Performance and Reward Management,Management,IIT Kharagpur
1399,The Ethical Corporation,Management,IIT Kharagpur
1400,Intellectual Property Rights and Competition Law,Management,IIT Kharagpur
1401,Patent Search for Engineers and Lawyers,Management,IIT Kharagpur
1402,Economic Growth and Development,Management,IIT Guwahati
1403,Management of Field Sales,Management,IIT Kanpur
1404,Modelling and Analytics for Supply Chain Management,Management,IIT Kharagpur
1405,Data Analysis & Decision Making - II,Management,IIT Kanpur
1406,Marketing Analytics,Management,IIT Kharagpur
1407,Advanced Green Manufacturing Systems,Management,IIT Kanpur
1408,Management of Commercial Banking,Management,IIT Kharagpur
1409,Behavioral and Personal Finance,Management,IIT Kharagpur
1410,Customer Relationship Management,Management,IIT Kharagpur
1411,Principles of Management - IITKGP,Management,IIT Kharagpur
1412,Decision Support System for Managers,Management,IIT Kharagpur
1413,Management Information System,Management,IIT Kharagpur
1414,Data Analysis & Decision Making - III,Management,IIT Kanpur
1415,Applied Econometrics,Management,IIT Kharagpur
1416,Organizational Behaviour - II,Management,IIT Kharagpur
1417,Automation in Production Systems and Management,Management,IIT Kharagpur
1418,Corporate Finance,Management,IIT Kharagpur
1419,International Marketing,Management,IIT Kharagpur
1420,Retail Management,Management,IIT Kharagpur
1421,Business Law for Managers,Management,IIT Kharagpur
1422,Safety and Risk Analytics,Management,IIT Kharagpur
1423,Strategic Management for Competitive Advantage,Management,IIT Kharagpur
1424,Human Factors Engineering,Management,IIT Kharagpur
1425,Matrix Solver,Management,IIT Kharagpur
1426,Financial Accounting,Management,IIT Bombay
1427,Cost Accounting,Management,IIT Bombay
1428,Strategic Management,Management,IISc Bangalore
1429,Introduction to Stochastic Processes,Management,IIT Bombay
1430,Introduction to System Dynamics Modeling,Management,IIT Bombay
1431,Global Supply Chain Management,Management,IISc Bangalore
1432,Organization Development and Change in 21st Century,Management,IIT Bombay
1433,Managerial Economics,Management,IIT Bombay
1434,Quality Control and Improvement with MINITAB,Management,IIT Bombay
1435,Business and Sustainable Development,Management,IIT Bombay
1436,Bank Management,Management,IIT Madras
1437,Infrastructure Finance,Management,IIT Madras
1438,Manufacturing Systems Management,Management,IIT Madras
1439,Operations and Supply Chain Management,Management,IIT Madras
1440,Services Operations Management,Management,IIT Madras
1441,Financial Statement Analysis and Reporting,Management,IIT Roorkee
1442,Business Analysis for Engineers,Management,IIT Madras
1443,Supply Chain Analytics,Management,IIT Roorkee
1444,Consumer Behaviour,Management,IIT Kharagpur
1445,Econometric Modelling,Management,IIT Kharagpur
1446,International Finance,Management,IIT Kharagpur
1447,Marketing research and analysis,Management,IIT Roorkee
1448,Organizational Behaviour,Management,IIT Kharagpur
1449,Project management for managers,Management,IIT Roorkee
1450,Organizational Behaviour,Management,IIT Kharagpur
1451,Security Analysis and Portfolio Management,Management,IIT Kharagpur
1452,Operations Research Applications &ndash; Linear and Integer Programming,Management,IIT Madras
1453,Security Analysis and Portfolio Management,Management,IIT Kharagpur
1454,Services Marketing,Management,IIT Kharagpur
1455,Introduction to Operations Research,Management,IIT Madras
1456,Six Sigma,Management,IIT Kharagpur
1457,Introduction to Data Analytics(Course sponsored by Aricent),Management,IIT Madras
1458,Business analytics and data mining Modeling using R,Management,IIT Roorkee
1459,Working Capital Management,Management,IIT Roorkee
1460,"Innovation, Business Models and Entrepreneurship",Management,IIT Roorkee
1461,Business Analytics & Data Mining Modeling Using R Part II,Management,IIT Roorkee
1462,Introduction to Stochastic Processes and its Applications,Management,IIT Kanpur
1463,Introduction to Data analytics,Management,IIT Madras
1464,International Business Communication,Management,IIT Kharagpur
1465,International Business Communication,Management,IIT Kharagpur
1466,Econometric Modelling,Management,IIT Kharagpur
1467,Consumer Behaviour,Management,IIT Kharagpur
1468,International Finance,Management,IIT Kharagpur
1469,Patent Law for Engineers and Scientists,Management,IIT Madras
1470,Applied Multivariate Statistical Modeling,Management,IIT Kharagpur
1471,Global Marketing Management,Management,IIT Roorkee
1472,Marketing Research and Analysis-II,Management,IIT Roorkee
1473,Business Statistics,Management,IIT Roorkee
1474,Economics / Management / Entrepreneurship,Management,IIT Kharagpur
1475,MCDM Techniques Using R,Management,IIT Roorkee
1476,Manufacturing Strategy,Management,IIT Roorkee
1477,Principles of Human Resource Management,Management,IIT Kharagpur
1478,Integrated Marketing Management,Management,IISc Bangalore
1479,Commodity Derivatives and Risk Management,Management,IIT Kharagpur
1480,Strategic Communication for Sustainable Development,Management,IIT Kharagpur
1481,Consumer Behaviour,Management,IIT Kharagpur
1482,Foundation Course in Managerial Economics,Management,IIT Kharagpur
1483,Knowledge Management,Management,IIT Kharagpur
1484,Services Marketing: A Practical Approach,Management,IIT Kharagpur
1485,Training Of Trainers,Management,IIT Roorkee
1486,Strategic Marketing - Contemporary Issues,Management,IIT Kanpur
1487,"Business Ethics
",Management,IIT Kharagpur
1488,Management Accounting,Management,IIT Roorkee
1489,Gender justice and workplace security,Management,IIT Kharagpur
1490,Financial Derivatives & Risk Management,Management,IIT Roorkee
1491,Corporate social responsibility,Management,IIT Kharagpur
1492,Business Analytics & Text Mining Modeling Using Python,Management,IIT Roorkee
1493,Decision modeling,Management,IIT Kharagpur
1494,Toyota Production System,Management,IIT Roorkee
1495,E-business,Management,IIT Kharagpur
1496,Strategy: An Introduction to game Theory,Management,IIT Kanpur
1497,Design and Analysis of Experiments,Management,IIT Kharagpur
1498,Graph Theory,Mathematics,IIT Madras
1499,Linear Algebra,Mathematics,IISc Bangalore
1500,Linear Algebra,Mathematics,IIT Madras
1501,Mathematical Logic,Mathematics,IIT Madras
1502,Real Analysis,Mathematics,IIT Madras
1503,Topology,Mathematics,IIT Madras
1504,Advanced Engineering Mathematics,Mathematics,IIT Kharagpur
1505,Functional Analysis,Mathematics,IIT Kharagpur
1506,Numerical methods of Ordinary and Partial Differential Equations,Mathematics,IIT Kharagpur
1507,Optimization,Mathematics,IIT Kharagpur
1508,Probability and Statistics,Mathematics,IIT Kharagpur
1509,Regression Analysis,Mathematics,IIT Kharagpur
1510,Statistical Inference,Mathematics,IIT Kharagpur
1511,Applied Multivariate Analysis,Mathematics,IIT Kanpur
1512,Calculus of Variations and Integral Equations,Mathematics,IIT Kanpur
1513,Discrete Mathematics,Mathematics,IIT Kanpur
1514,Mathematical Methods and its Applications,Mathematics,IIT Roorkee
1515,Linear programming and Extensions,Mathematics,IIT Kanpur
1516,Numerical Solution of ODEs,Mathematics,IIT Kanpur
1517,Ordinary Differential Equations,Mathematics,IIT Kanpur
1518,"Integral equations, calculus of variations and its applications",Mathematics,IIT Roorkee
1519,Probability and Distributions,Mathematics,IIT Kanpur
1520,Nonlinear programming,Mathematics,IIT Roorkee
1521,Numerical methods,Mathematics,IIT Roorkee
1522,Dynamic Data Assimilation: an introduction,Mathematics,IIT Madras
1523,Numerical Linear Algebra,Mathematics,IIT Roorkee
1524,An invitation to mathematics,Mathematics,IIT Madras
1525,Numerical Methods: Finite difference approach ,Mathematics,IIT Roorkee
1526,"Advanced Complex Analysis - Part 1:Zeros of Analytic Functions,Analytic continuation, Monodromy, Hyperbolic Geometry and the Reimann Mapping Theorem",Mathematics,IIT Madras
1527,Multivariable Calculus,Mathematics,IIT Roorkee
1528,Discrete Mathematics,Mathematics,IIT Madras
1529,An introduction to smooth manifolds,Mathematics,IISc Bangalore
1530,Ordinary and Partial Differential Equations and Applications,Mathematics,IIT Roorkee
1531,Measure Theory,Mathematics,IISc Bangalore
1532,Formal Languages and Automata Theory,Mathematics,IIT Guwahati
1533,Matrix Analysis with Applications,Mathematics,IIT Roorkee
1534,Introduction to Algebraic Geometry and Commutative Algebra,Mathematics,IISc Bangalore
1535,Mathematical Modelling: Analysis and Applications,Mathematics,IIT Roorkee
1536,Number Theory,Mathematics,IIT Guwahati
1537,Partial Differential Equations,Mathematics,IIT Guwahati
1538,A Basic Course in Real Analysis,Mathematics,IIT Kharagpur
1539,Stochastic Processes,Mathematics,IIT Guwahati
1540," Advanced Complex Analysis - Part 2:  Compactness of Meromorphic Functions  in the Spherical Metric, Spherical Derivative, Normality,  Theorems of Marty-Zalcman-Montel-Picard-Royden-Schottky",Mathematics,IIT Madras
1541,Dynamical System and Control,Mathematics,IIT Roorkee
1542,Advanced Engineering Mathematics,Mathematics,IIT Roorkee
1543,First Course on Partial Differential Equations _ I,Mathematics,IISc Bangalore
1544,"Basic Algebraic Geometry : Varieties, Morphisms, Local Rings, Function Fields and Nonsingularity",Mathematics,IIT Madras
1545,Introduction to Commutative Algebra,Mathematics,IIT Madras
1546,Differential equations for engineers,Mathematics,IIT Madras
1547,Statistical Methods for Scientists and Engineers ,Mathematics,IIT Kharagpur
1548,Numerical Analysis,Mathematics,IIT Madras
1549,Graph Theory,Mathematics,IISER Pune
1550,Higher Engineering Mathematics,Mathematics,IIT Roorkee
1551,Operations Research,Mathematics,IIT Roorkee
1552,First Course on Partial Differential Equations - II,Mathematics,IISc Bangalore
1553,Advanced Abstract Algebra,Mathematics,IIT Delhi
1554,Linear Algebra,Mathematics,IIT Delhi
1555,Linear Programming Problems,Mathematics,IIT Delhi
1556,Matrix Theory,Mathematics,IISc Bangalore
1557,Stochastic Processes,Mathematics,IIT Delhi
1558,Transform Techniques for Engineers,Mathematics,IIT Madras
1559,Introduction to probability and Statistics,Mathematics,IIT Madras
1560,Introduction to Abstract Group Theory,Mathematics,IIT Madras
1561,Essential Mathematics for Machine Learning,Mathematics,IIT Roorkee
1562,Probability and Statistics,Mathematics,IIT Kharagpur
1563,"Groups : Motion, symmetry and puzzles",Mathematics,IIT Madras
1564,Applied Multivariate Statistical Modeling,Mathematics,IIT Kharagpur
1565,Convex Optimization,Mathematics,IIT Kanpur
1566,Partial Differential Equations (PDE) for Engineers: Solution by Separation of Variables,Mathematics,IIT Kharagpur
1567,Foundations of Optimization,Mathematics,IIT Kanpur
1568,Econometric Theory,Mathematics,IIT Kanpur
1569,Algebra II,Mathematics,IIT Bombay
1570,Sampling Theory,Mathematics,IIT Kanpur
1571,Algebraic Topology,Mathematics,IIT Bombay
1572,Linear Regression Analysis,Mathematics,IIT Kanpur
1573,Introductory Course in Real Analysis,Mathematics,IIT Kharagpur
1574,Elementary Numerical Analysis,Mathematics,IIT Bombay
1575,Analysis of variance and design of experiment-I,Mathematics,IIT Kanpur
1576,Modeling Transport Phenomena of Microparticles,Mathematics,IIT Kharagpur
1577,Introduction to Probability Theory,Mathematics,IIT Bombay
1578,Constrained and unconstrained optimization,Mathematics,IIT Kharagpur
1579,Measure and Integration,Mathematics,IIT Bombay
1580,Analysis of variance and design of experiment-II,Mathematics,IIT Kanpur
1581,Probability Theory and Applications,Mathematics,IIT Kanpur
1582,Introduction To Rings And Fields,Mathematics,IIT Madras
1583,"Basic Calculus for Engineers, Scientists and Economists",Mathematics,IIT Kanpur
1584,Probabilistic Methods in PDE,Mathematics,IISER Pune
1585,Linear Algebra,Mathematics,IIT Madras
1586,Introduction to Abstract and Linear Algebra,Mathematics,IIT Kharagpur
1587,Probability and Stochastics for finance,Mathematics,IIT Kanpur
1588,Algebra - I,Mathematics,IIT Madras
1589,Computational Commutative Algebra,Mathematics,IIT Madras
1590,Laplace Transform,Mathematics,IIT Madras
1591,Differential Calculus in Several Variables,Mathematics,IIT Kanpur
1592,Measure Theory,Mathematics,IIT Madras
1593,Complex Analysis,Mathematics,IIT Madras
1594,Complex Analysis,Mathematics,IIT Guwahati
1595,Real Analysis I,Mathematics,IIT Madras
1596,Curves and Surfaces,Mathematics,IIT Kanpur
1597,Variational Calculus and its applications in Control Theory and Nanomechanics,Mathematics,IIT Delhi
1598,Engineering Mathematics - I,Mathematics,IIT Kharagpur
1599,Introduction to Galois Theory,Mathematics,CMI
1600,Linear Regression Analysis and Forecasting,Mathematics,IIT Kanpur
1601,Integral and Vector Calculus,Mathematics,IIT Kharagpur
1602,Basic Calculus _ 1,Mathematics,IIT Madras
1603,Transform Calculus and its applications in Differential Equations,Mathematics,IIT Kharagpur
1604,Functional Analysis,Mathematics,IMSc
1605,Introduction to R Software,Mathematics,IIT Kanpur
1606,Statistical Inference,Mathematics,IIT Kharagpur
1607,Mathematical Methods in Physics 1,Mathematics,IISER Bhopal
1608,Computational Mathematics with SageMath,Mathematics,"Institute of Chemical Technology, Mumbai"
1609,Introduction to Probability (with examples using R),Mathematics,ISI Bangalore
1610,Algebra _ II,Mathematics,IMSc
1611,Mathematical Methods in Physics 2,Mathematics,IISER Bhopal
1612,Real Analysis II,Mathematics,IIT Palakkad
1613,Sobolev Spaces and Partial Differential Equations,Mathematics,IMSc
1614,Combinatorics,Mathematics,IIT Madras
1615,Mathematical Methods for Boundary Value Problems,Mathematics,IIT Kharagpur
1616,Geometry of Vision,Mathematics,CMI
1617,Engineering Mathematics II,Mathematics,IIT Kharagpur
1618,Algebraic Combinatorics,Mathematics,IIT Madras
1619,An invitation to Topology,Mathematics,IIT Madras
1620,Operator Theory,Mathematics,IIT Madras
1621,Measure and Integration,Mathematics,IIT Madras
1622,Approximate Reasoning using Fuzzy Set Theory,Mathematics,IIT Madras
1623,"Probability - II with Examples Using R
",Mathematics,IIT Madras
1624,Descriptive Statistics with R Software,Mathematics,IIT Kanpur
1625,"Calculus of Several Real
Variables",Mathematics,IIT Kanpur
1626,Advanced Calculus For Engineers,Mathematics,IIT Kharagpur
1627,Linear Algebra,Mathematics,IIT Kanpur
1628,Rings and Modules,Mathematics,IIT Kharagpur
1629,Computational Number Theory and Algebra,Mathematics,IIT Kanpur
1630,Stochastic Processes - 1,Mathematics,IIT Delhi
1631,Basic Calculus 1 and 2,Mathematics,IIT Kanpur
1632,Advanced Partial Differential Equations,Mathematics,IIT Kanpur
1633,Stochastic Processes,Mathematics,IIT Delhi
1634,Essentials of Data Science With R Software _ 1: Probability and Statistical Inference,Mathematics,IIT Kanpur
1635,Essentials of Data Science With R Software _ 2: Sampling Theory and Linear Regression Analysis,Mathematics,IIT Kanpur
1636,Mathematical Finance,Mathematics,IIT Guwahati
1637,Mathematics in India - From Vedic Period to Modern Times ,Mathematics,IIT Bombay
1638,Measure Theoretic Probability 1,Mathematics,IIT Kanpur
1639,Chaotic Dynamical Systems,Mathematics,IIT Delhi
1640,Introduction to Probability Theory and Stochastic Processes,Mathematics,IIT Delhi
1641,Statistical Inference,Mathematics,IIT Delhi
1642,Foundations of R Software,Mathematics,IIT Kanpur
1643,Mathematical Portfolio Theory,Mathematics,IIT Guwahati
1644,Foundations of R Software (In Hindi Language),Mathematics,IIT Kanpur
1645,Measure theory,Mathematics,IIT Bombay
1646,Integral Transforms And Their Applications,Mathematics,IIT Madras
1647,"Introduction to Fuzzy Set Theory, Arithmetic and Logic",Mathematics,IIT Delhi
1648,"Calculus for Economics,Commerce and Management",Mathematics,IIT Bombay
1649,Introduction to Methods of Applied Mathematics,Mathematics,IIT Delhi
1650,Advanced Probability Theory,Mathematics,IIT Delhi
1651,Discrete-time Markov Chains and Poisson Processes,Mathematics,IIT Guwahati
1652,Introduction to Queueing Theory,Mathematics,IIT Guwahati
1653,Scientific Computing using Matlab,Mathematics,IIT Delhi
1654,Basic Linear Algebra,Mathematics,IIT Bombay
1655,Commutative Algebra,Mathematics,IIT Bombay
1656,Galois Theory,Mathematics,IIT Bombay
1657,Non-parametric Statistical Inference,Mathematics,IIT Delhi
1658,Matrix Computation and its applications,Mathematics,IIT Delhi
1659,Basic Real Analysis,Mathematics,IIT Bombay
1660,Introduction to Probability Theory and Statistics,Mathematics,IIT Delhi
1661,A basic course in number theory,Mathematics,IIT Bombay
1662,Introduction to Algebraic Topology (Part_I),Mathematics,IIT Bombay
1663,Introduction to Algebraic Topology (Part-II),Mathematics,IIT Bombay
1664,Partial Differential Equations,Mathematics,IIT Bombay
1665,Advanced Matrix Theory and Linear Algebra for Engineers,Mathematics,IISc Bangalore
1666,An introduction to Point-Set-Topology Part-I,Mathematics,IIT Bombay
1667,An introduction to Point-Set-Topology Part-II,Mathematics,IIT Bombay
1668,Complex Analysis,Mathematics,IIT Roorkee
1669,Ordinary Differential Equations and Applications,Mathematics,IISc Bangalore
1670,Discrete Mathematics,Mathematics,IIT Roorkee
1671,Numerical Analysis,Mathematics,IIT Roorkee
1672,Numerical Solution of Ordinary and Partial Differential Equations,Mathematics,IIT Roorkee
1673,An Introduction to Riemann Surfaces and Algebraic Curves: Complex 1-Tori and Elliptic Curves,Mathematics,IIT Madras
1674,Fourier Analysis,Mathematics,IIT Madras
1675,Functional Analysis,Mathematics,IIT Madras
1676,Basics of Finite Element Analysis-I,Mechanical Engineering,IIT Kanpur
1677,Introduction to Soft Matter,Mechanical Engineering,IISc Bangalore
1678,Basics of Noise and Its Measurements,Mechanical Engineering,IIT Kanpur
1679,"Advanced Fluid Mechanics
",Mechanical Engineering,IIT Kharagpur
1680,Manufacturing Process Technology -Part I,Mechanical Engineering,IIT Kanpur
1681,Spur and helical gear cutting,Mechanical Engineering,IIT Kharagpur
1682,Laws of thermodynamics,Mechanical Engineering,IIT Kharagpur
1683,Energy conservation and waste heat recovery,Mechanical Engineering,IIT Kharagpur
1684,Mechatronics and Manufacturing Automation,Mechanical Engineering,IIT Guwahati
1685,Experimental Stress Analysis: An Overview,Mechanical Engineering,IIT Madras
1686,Mechanics of Human Movement,Mechanical Engineering,IIT Madras
1687,"Design for Quality, Manufacturing and Assembly",Mechanical Engineering,IIT Madras
1688,Surrogates and Approximations in Engineering Design,Mechanical Engineering,IIT Madras
1689,Robotics: Basics and Selected Advanced Concepts,Mechanical Engineering,IISc Bangalore
1690,Nature and Properties of Materials,Mechanical Engineering,IIT Kanpur
1691,Manufacturing Process Technology - II,Mechanical Engineering,IIT Kanpur
1692,Basics of Finite Element Analysis - II,Mechanical Engineering,IIT Kanpur
1693, Steel Quality : Role of Secondary Refining & Continuous Casting,Mechanical Engineering,IIT Madras
1694,Introduction to Mechanical Micro Machining,Mechanical Engineering,IIT Kharagpur
1695,Machinery Fault Diagnosis and Signal Processing,Mechanical Engineering,IIT Kharagpur
1696,Metal Cutting and Machine tools,Mechanical Engineering,IIT Kharagpur
1697,Gear and Gear Unit Design : Theory and Practice,Mechanical Engineering,IIT Kharagpur
1698,Product Design Using Value Engineering,Mechanical Engineering,IIT Roorkee
1699,Principles of Vibration Control,Mechanical Engineering,IIT Kanpur
1700,Traditional and Non-Traditional Optimization Tools,Mechanical Engineering,IIT Kharagpur
1701,Selection Of Nanomaterials For Energy Harvesting And Storage Application,Mechanical Engineering,IIT Roorkee
1702,Fundamentals of Acoustics,Mechanical Engineering,IIT Kanpur
1703,Mechanism and Robot Kinematics,Mechanical Engineering,IIT Kharagpur
1704,Sound and Structural Vibration,Mechanical Engineering,IISc Bangalore
